Burden,Season,Date,Low,High,,,,,,,,
Illnesses,2024-2025,3/15/2025,"7,600,000","13,100,000",,,,,,,,
Deaths,2024-2025,3/22/2025,"26,000","43,000",,,,,,,,
Hospitalizations,2024-2025,3/22/2025,"220,000","370,000",,,,,,,,
Illnesses,2024-2025,11/23/2024,"1,900,000","3,400,000",,,,,,,,
Outpatient visits,2024-2025,3/22/2025,"1,900,000","3,200,000",,,,,,,,
Illnesses,2024-2025,3/22/2025,"7,700,000","13,500,000",,,,,,,,
Deaths,2024-2025,3/29/2025,"26,000","44,000",,,,,,,,
Hospitalizations,2024-2025,3/29/2025,"230,000","370,000",,,,,,,,
Outpatient visits,2024-2025,3/29/2025,"2,000,000","3,300,000",,,,,,,,
Illnesses,2024-2025,3/29/2025,"8,100,000","13,800,000",,,,,,,,
Deaths,2024-2025,4/5/2025,"28,000","46,000",,,,,,,,
Hospitalizations,2024-2025,4/5/2025,"230,000","390,000",,,,,,,,
Outpatient visits,2024-2025,4/5/2025,"2,000,000","3,400,000",,,,,,,,
Illnesses,2024-2025,4/5/2025,"8,400,000","14,200,000",,,,,,,,
Deaths,2024-2025,4/12/2025,"28,000","47,000",,,,,,,,
Hospitalizations,2024-2025,4/12/2025,"240,000","400,000",,,,,,,,
Outpatient visits,2024-2025,4/12/2025,"2,100,000","3,500,000",,,,,,,,
Illnesses,2024-2025,4/12/2025,"8,600,000","14,600,000",,,,,,,,
Deaths,2024-2025,4/19/2025,"29,000","47,000",,,,,,,,
Hospitalizations,2024-2025,4/19/2025,"250,000","400,000",,,,,,,,
Outpatient visits,2024-2025,4/19/2025,"2,100,000","3,500,000",,,,,,,,
Illnesses,2024-2025,4/19/2025,"8,800,000","14,800,000",,,,,,,,
Deaths,2024-2025,4/26/2025,"29,000","47,000",,,,,,,,
Hospitalizations,2024-2025,4/26/2025,"250,000","410,000",,,,,,,,
Outpatient visits,2024-2025,4/26/2025,"2,200,000","3,600,000",,,,,,,,
Illnesses,2024-2025,4/26/2025,"9,000,000","15,200,000",,,,,,,,
Deaths,2024-2025,5/3/2025,"29,000","48,000",,,,,,,,
Hospitalizations,2024-2025,5/3/2025,"250,000","410,000",,,,,,,,
Outpatient visits,2024-2025,5/3/2025,"2,200,000","3,600,000",,,,,,,,
Illnesses,2024-2025,5/3/2025,"9,100,000","15,400,000",,,,,,,,
Deaths,2024-2025,5/10/2025,"30,000","50,000",,,,,,,,
Hospitalizations,2024-2025,5/10/2025,"260,000","430,000",,,,,,,,
Outpatient visits,2024-2025,5/10/2025,"2,300,000","3,700,000",,,,,,,,
