Flu Season,Age Group,Population,Symptomatic Illnesses,Symptomatic Illnesses 95% UI Lower Bound,Symptomatic Illnesses 95% UI Upper Bound,Symptomatic Illness Rate,Symptomatic Illness Rate 95% UI Lower Bound,Symptomatic Illness Rate 95% UI Upper Bound,Medical Visits,Medical Visits 95% UI Lower Bound,Medical Visits 95% UI Upper Bound,Medical Visit Rate,Medical Visit Rate 95% UI Lower Bound,Medical Visit Rate 95% UI Upper Bound,Hospitalizations,Hospitalizations 95% UI Lower Bound,Hospitalizations 95% UI Upper Bound,Hospitalization Rate,Hospitalization Rate 95% UI Lower Bound,Hospitalization Rate 95% UI Upper Bound,Deaths,Deaths 95% UI Lower Bound,Deaths 95% UI Upper Bound,Death Rate,Death Rate 95% UI Lower Bound,Death Rate 95% UI Upper Bound
2014-2015,5-17 yrs,53706735,6388401,5013722,8655175,11895,9335.4,16115.6,3321969,2415922,4689163,6185.4,4498.4,8731.1,17516,13747,23732,32.6,25.6,44.2,407,147,746,0.8,0.3,1.4
2014-2015,18-49 yrs,136381837,8606083,7271611,11603232,6310.3,5331.8,8507.9,3184251,2253647,4598176,2334.8,1652.5,3371.5,48306,40816,65129,35.4,29.9,47.8,985,530,1660,0.7,0.4,1.2
2014-2015,50-64 yrs,62648390,7255317,5003795,12705303,11581,7987.1,20280.3,3119786,1912890,5672898,4979.8,3053.4,9055.1,76941,53064,134736,122.8,84.7,215.1,4780,3561,6564,7.6,5.7,10.5
2014-2015,65+ yrs,46243211,4672995,2740752,11057211,10105.3,5926.8,23911,2616877,1423121,6276496,5658.9,3077.5,13572.8,424818,249159,1005201,918.7,538.8,2173.7,44808,27707,93712,96.9,59.9,202.7
2014-2015,All Ages,318857056,30121318,26162156,39821956,9446.7,8205,12489,14385893,12018541,19769675,4511.7,3769.3,6200.2,589879,416133,1180502,185,130.5,370.2,51376,34124,100161,16.1,10.7,31.4
2015-2016,0-4 yrs,19907281,2187759,1508819,4242804,10989.7,7579.2,21312.8,1465798,960290,2852822,7363.1,4823.8,14330.5,15252,10519,29579,76.6,52.8,148.6,151,0,354,0.8,0,1.8
2015-2016,5-17 yrs,53737830,4098397,2862150,6764203,7626.7,5326.1,12587.4,2131166,1420449,3605669,3965.9,2643.3,6709.7,11237,7848,18547,20.9,14.6,34.5,82,0,221,0.2,0,0.4
2015-2016,18-49 yrs,136800721,9302346,6673932,15135051,6799.9,4878.6,11063.6,3441868,2205100,5861711,2516,1611.9,4284.9,52214,37461,84953,38.2,27.4,62.1,1581,1019,2336,1.2,0.7,1.7
2015-2016,50-64 yrs,63212136,6723617,4530984,12021370,10636.6,7167.9,19017.5,2891155,1756580,5422741,4573.7,2778.9,8578.6,71302,48050,127483,112.8,76,201.7,2974,2158,4206,4.7,3.4,6.7
2015-2016,65+ yrs,47760852,1408825,782271,3787142,2949.7,1637.9,7929.4,788942,415825,2160957,1651.9,870.6,4524.5,128075,71116,344286,268.2,148.9,720.9,17386,11886,33203,36.4,24.9,69.5
2015-2016,All Ages,321418820,23720943,19975998,32717435,7380.1,6214.9,10179.1,10718930,8721374,15078018,3334.9,2713.4,4691.1,278081,214649,505759,86.5,66.8,157.4,22173,16534,38260,6.9,5.1,11.9
2016-2017,0-4 yrs,19927037,2131309,1403908,5347097,10695.6,7045.2,26833.4,1427977,891162,3592884,7166,4472.1,18030.2,14859,9787,37278,74.6,49.1,187.1,131,0,310,0.7,0,1.6
2016-2017,5-17 yrs,53715248,6522049,4194961,13807864,12141.9,7809.6,25705.7,3391465,2070913,7263897,6313.8,3855.4,13523,17883,11502,37860,33.3,21.4,70.5,116,0,321,0.2,0,0.6
2016-2017,18-49 yrs,136938833,9460679,6620276,16572347,6908.7,4834.5,12102,3500451,2164889,6479016,2556.2,1580.9,4731.3,53103,37160,93021,38.8,27.1,67.9,1384,879,2025,1,0.6,1.5
2016-2017,50-64 yrs,63302200,7555221,5185512,14373044,11935.2,8191.7,22705.4,3248745,1974610,6367290,5132.1,3119.3,10058.6,80121,54991,152422,126.6,86.9,240.8,3937,3002,5154,6.2,4.7,8.1
2016-2017,65+ yrs,49244195,3712827,2351419,7797052,7539.6,4775,15833.4,2079183,1214174,4400601,4222.2,2465.6,8936.3,337530,213765,708823,685.4,434.1,1439.4,32211,21945,55593,65.4,44.6,112.9
2016-2017,All Ages,323127513,29382085,24405446,43265441,9093,7552.9,13389.6,13647822,11084707,20460365,4223.7,3430.4,6332,503495,377153,893192,155.8,116.7,276.4,37778,27470,61147,11.7,8.5,18.9
2017-2018,0-4 yrs,19938860,3363143,2424222,6073699,16867.3,12158.3,30461.6,2253306,1531439,4158689,11301.1,7680.7,20857.2,23446,16901,42343,117.6,84.8,212.4,109,0,258,0.5,0,1.3
2017-2018,5-17 yrs,53716518,7172065,5434795,10686733,13351.7,10117.5,19894.7,3729474,2650187,5753827,6942.9,4933.7,10711.5,19665,14902,29302,36.6,27.7,54.5,412,172,709,0.8,0.3,1.3
2017-2018,18-49 yrs,137808369,13580244,9935879,21985828,9854.4,7209.9,15953.9,5024690,3264135,8630042,3646.1,2368.6,6262.3,76226,55770,123407,55.3,40.5,89.5,2241,1636,2994,1.6,1.2,2.2
2017-2018,50-64 yrs,63396752,11734169,9022154,16933052,18509.1,14231.3,26709.7,5045693,3397829,7831612,7958.9,5359.6,12353.3,124438,95677,179570,196.3,150.9,283.2,5808,4709,7236,9.2,7.4,11.4
